-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Latitude  -8.6836   Longitude 115.262 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 313.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (MJ/hr) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (MJ/hr) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,WS2M,RH2M
2020,1,1,0,0.0,0.0,0.0,25.47,0.83,91.41
2020,1,1,1,0.0,0.0,0.0,25.39,0.9,91.78
2020,1,1,2,0.0,0.0,0.0,25.34,0.9,92.01
2020,1,1,3,0.0,0.0,0.0,25.3,0.87,92.03
2020,1,1,4,0.0,0.0,0.0,25.29,0.83,91.87
2020,1,1,5,0.0,0.0,0.0,25.24,0.75,91.72
2020,1,1,6,0.01,0.0,0.03,25.26,0.65,91.34
2020,1,1,7,0.03,0.0,0.57,25.69,0.58,90.04
2020,1,1,8,0.07,0.0,2.08,26.06,0.5,88.75
2020,1,1,9,0.09,0.0,4.05,26.52,0.51,85.79
2020,1,1,10,0.11,0.0,5.18,27.03,0.58,81.22
2020,1,1,11,0.09,0.0,4.95,27.64,0.72,75.86
2020,1,1,12,0.07,0.0,4.12,28.02,0.8,73.23
2020,1,1,13,0.06,0.0,3.03,28.11,0.78,72.24
2020,1,1,14,0.05,0.0,2.62,27.75,0.69,74.2
2020,1,1,15,0.04,0.0,1.7,27.25,0.58,77.28
2020,1,1,16,0.03,0.0,0.85,26.67,0.57,81.21
2020,1,1,17,0.01,0.0,0.17,26.06,0.63,85.74
2020,1,1,18,0.0,0.0,0.0,25.54,0.75,89.7
2020,1,1,19,0.0,0.0,0.0,25.24,0.97,91.43
2020,1,1,20,0.0,0.0,0.0,25.1,1.14,92.11
2020,1,1,21,0.0,0.0,0.0,25.02,1.27,92.2
2020,1,1,22,0.0,0.0,0.0,24.92,1.33,92.17
2020,1,1,23,0.0,0.0,0.0,24.84,1.34,92.58
2020,1,2,0,0.0,0.0,0.0,24.77,1.36,92.65
2020,1,2,1,0.0,0.0,0.0,24.66,1.34,92.66
2020,1,2,2,0.0,0.0,0.0,24.57,1.31,92.32
2020,1,2,3,0.0,0.0,0.0,24.48,1.23,91.84
2020,1,2,4,0.0,0.0,0.0,24.41,1.12,91.47
2020,1,2,5,0.0,0.0,0.0,24.43,0.99,90.7
2020,1,2,6,0.01,0.0,0.03,24.59,0.84,89.72
2020,1,2,7,0.03,0.0,0.57,25.18,0.7,87.89
2020,1,2,8,0.07,0.0,2.35,25.92,0.65,84.53
2020,1,2,9,0.14,0.0,6.38,27.05,0.63,75.55
2020,1,2,10,0.18,0.01,9.25,27.93,0.63,70.62
2020,1,2,11,0.2,0.01,11.38,28.58,0.67,67.63
2020,1,2,12,0.2,0.01,11.5,29.07,0.72,65.53
2020,1,2,13,0.16,0.01,8.45,29.34,0.76,64.47
2020,1,2,14,0.13,0.0,6.4,29.25,0.8,64.88
2020,1,2,15,0.09,0.0,3.72,28.87,0.88,66.91
2020,1,2,16,0.06,0.0,1.65,28.11,0.94,71.36
2020,1,2,17,0.02,0.0,0.32,27.13,1.03,78.12
2020,1,2,18,0.0,0.0,0.03,26.2,1.15,85.91
2020,1,2,19,0.0,0.0,0.0,25.63,1.28,90.4
2020,1,2,20,0.0,0.0,0.0,25.35,1.3,91.74
2020,1,2,21,0.0,0.0,0.0,25.2,1.23,92.49
2020,1,2,22,0.0,0.0,0.0,25.1,1.19,92.85
2020,1,2,23,0.0,0.0,0.0,25.02,1.23,93.01
2020,1,3,0,0.0,0.0,0.0,24.93,1.34,93.15
2020,1,3,1,0.0,0.0,0.0,24.85,1.46,93.44
2020,1,3,2,0.0,0.0,0.0,24.73,1.53,93.86
2020,1,3,3,0.0,0.0,0.0,24.6,1.56,94.17
2020,1,3,4,0.0,0.0,0.0,24.52,1.56,94.08
2020,1,3,5,0.0,0.0,0.0,24.47,1.53,93.94
2020,1,3,6,0.01,0.0,0.03,24.53,1.5,93.5
2020,1,3,7,0.03,0.0,0.55,25.09,1.46,92.27
2020,1,3,8,0.07,0.0,2.25,25.55,1.37,89.99
2020,1,3,9,0.11,0.0,5.05,26.15,1.34,85.08
2020,1,3,10,0.14,0.0,6.6,26.97,1.4,78.88
2020,1,3,11,0.15,0.01,8.25,27.54,1.52,75.08
2020,1,3,12,0.15,0.01,8.62,27.95,1.61,72.31
2020,1,3,13,0.15,0.01,7.68,28.15,1.64,70.76
2020,1,3,14,0.12,0.0,6.03,28.13,1.61,70.62
2020,1,3,15,0.1,0.0,4.0,27.67,1.46,73.62
