-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Latitude  -8.488   Longitude 116.0414 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 174.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (MJ/hr) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (MJ/hr) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,WS2M,RH2M
2020,1,1,0,0.0,0.0,0.0,26.56,1.38,89.75
2020,1,1,1,0.0,0.0,0.0,26.38,1.55,90.65
2020,1,1,2,0.0,0.0,0.0,26.23,1.65,91.24
2020,1,1,3,0.0,0.0,0.0,26.14,1.74,91.58
2020,1,1,4,0.0,0.0,0.0,26.07,1.75,91.66
2020,1,1,5,0.0,0.0,0.0,26.02,1.66,91.56
2020,1,1,6,0.01,0.0,0.03,26.14,1.53,91.35
2020,1,1,7,0.04,0.0,0.65,26.7,1.5,89.17
2020,1,1,8,0.08,0.0,2.55,27.02,1.39,86.57
2020,1,1,9,0.1,0.0,4.47,27.51,1.4,82.44
2020,1,1,10,0.12,0.0,5.72,27.92,1.54,79.45
2020,1,1,11,0.1,0.0,5.78,28.15,1.73,77.96
2020,1,1,12,0.08,0.0,4.65,28.26,1.83,77.23
2020,1,1,13,0.05,0.0,2.47,28.2,1.94,77.72
2020,1,1,14,0.04,0.0,2.2,27.97,2.06,79.19
2020,1,1,15,0.03,0.0,1.35,27.63,2.14,81.48
2020,1,1,16,0.02,0.0,0.6,27.23,2.14,84.08
2020,1,1,17,0.01,0.0,0.12,26.74,2.0,87.51
2020,1,1,18,0.0,0.0,0.0,26.26,1.92,90.64
2020,1,1,19,0.0,0.0,0.0,26.0,1.98,91.6
2020,1,1,20,0.0,0.0,0.0,25.87,1.97,92.04
2020,1,1,21,0.0,0.0,0.0,25.8,1.95,92.08
2020,1,1,22,0.0,0.0,0.0,25.75,1.89,91.87
2020,1,1,23,0.0,0.0,0.0,25.69,1.87,91.64
2020,1,2,0,0.0,0.0,0.0,25.61,1.87,91.58
2020,1,2,1,0.0,0.0,0.0,25.55,1.88,91.42
2020,1,2,2,0.0,0.0,0.0,25.47,1.84,91.29
2020,1,2,3,0.0,0.0,0.0,25.4,1.74,91.08
2020,1,2,4,0.0,0.0,0.0,25.34,1.65,90.89
2020,1,2,5,0.0,0.0,0.0,25.31,1.6,90.64
2020,1,2,6,0.01,0.0,0.03,25.5,1.61,90.59
2020,1,2,7,0.04,0.0,0.65,26.18,1.66,88.52
2020,1,2,8,0.07,0.0,2.42,26.61,1.56,85.49
2020,1,2,9,0.13,0.0,6.1,27.19,1.46,80.26
2020,1,2,10,0.18,0.01,8.68,27.76,1.43,76.13
2020,1,2,11,0.2,0.01,11.5,28.2,1.52,73.5
2020,1,2,12,0.17,0.01,9.68,28.5,1.67,71.97
2020,1,2,13,0.16,0.01,8.3,28.65,1.77,71.25
2020,1,2,14,0.13,0.0,6.3,28.62,1.81,71.4
2020,1,2,15,0.1,0.0,4.03,28.48,1.76,72.05
2020,1,2,16,0.06,0.0,1.58,28.1,1.65,74.12
2020,1,2,17,0.02,0.0,0.22,27.49,1.48,78.84
2020,1,2,18,0.0,0.0,0.0,26.81,1.4,85.05
2020,1,2,19,0.0,0.0,0.0,26.44,1.37,87.29
2020,1,2,20,0.0,0.0,0.0,26.32,1.33,88.06
2020,1,2,21,0.0,0.0,0.0,26.21,1.24,88.71
2020,1,2,22,0.0,0.0,0.0,26.12,1.2,89.36
2020,1,2,23,0.0,0.0,0.0,25.97,1.21,90.28
2020,1,3,0,0.0,0.0,0.0,25.82,1.33,91.3
2020,1,3,1,0.0,0.0,0.0,25.75,1.5,92.13
2020,1,3,2,0.0,0.0,0.0,25.7,1.63,92.73
2020,1,3,3,0.0,0.0,0.0,25.67,1.67,92.97
2020,1,3,4,0.0,0.0,0.0,25.65,1.66,92.61
2020,1,3,5,0.0,0.0,0.0,25.65,1.58,91.79
2020,1,3,6,0.01,0.0,0.03,25.85,1.48,90.66
2020,1,3,7,0.03,0.0,0.6,26.44,1.5,88.47
2020,1,3,8,0.07,0.0,2.3,26.87,1.36,86.15
2020,1,3,9,0.1,0.0,4.85,27.36,1.45,82.08
2020,1,3,10,0.14,0.0,6.7,27.78,1.6,78.88
2020,1,3,11,0.13,0.01,7.18,28.11,1.88,76.77
2020,1,3,12,0.14,0.01,7.9,28.21,2.15,76.02
2020,1,3,13,0.12,0.0,6.47,28.2,2.3,75.76
2020,1,3,14,0.12,0.0,5.75,28.07,2.38,76.28
2020,1,3,15,0.08,0.0,3.45,27.78,2.35,77.8
2020,1,3,16,0.06,0.0,1.52,27.34,2.29,80.94
2020,1,3,17,0.02,0.0,0.28,26.84,2.15,85.48
2020,1,3,18,0.0,0.0,0.0,26.35,2.09,89.8
2020,1,3,19,0.0,0.0,0.0,26.16,2.2,91.76
2020,1,3,20,0.0,0.0,0.0,26.14,2.26,92.45
2020,1,3,21,0.0,0.0,0.0,26.12,2.33,92.7
2020,1,3,22,0.0,0.0,0.0,26.07,2.3,92.81
2020,1,3,23,0.0,0.0,0.0,26.1,2.48,92.9
2020,1,4,0,0.0,0.0,0.0,26.2,2.89,92.58
2020,1,4,1,0.0,0.0,0.0,26.28,3.22,92.61
2020,1,4,2,0.0,0.0,0.0,26.37,3.31,92.89
2020,1,4,3,0.0,0.0,0.0,26.51,3.33,92.72
2020,1,4,4,0.0,0.0,0.0,26.53,3.01,92.97
2020,1,4,5,0.0,0.0,0.0,26.52,2.64,93.37
2020,1,4,6,0.0,0.0,0.03,26.61,2.57,93.12
2020,1,4,7,0.02,0.0,0.38,26.9,2.59,92.21
2020,1,4,8,0.04,0.0,1.23,27.2,2.78,90.46
2020,1,4,9,0.06,0.0,3.03,27.47,3.01,88.19
2020,1,4,10,0.11,0.0,5.22,27.69,3.13,86.22
2020,1,4,11,0.12,0.0,6.85,27.9,3.17,84.49
2020,1,4,12,0.12,0.0,7.12,28.01,3.26,83.78
2020,1,4,13,0.06,0.0,3.03,28.01,3.29,83.69
2020,1,4,14,0.04,0.0,2.2,27.91,3.21,83.9
2020,1,4,15,0.03,0.0,1.1,27.75,3.02,84.34
2020,1,4,16,0.02,0.0,0.47,27.47,2.72,85.87
2020,1,4,17,0.01,0.0,0.1,27.03,2.49,88.6
2020,1,4,18,0.0,0.0,0.0,26.61,2.48,90.61
2020,1,4,19,0.0,0.0,0.0,26.33,2.57,91.15
2020,1,4,20,0.0,0.0,0.0,26.13,2.47,91.15
2020,1,4,21,0.0,0.0,0.0,25.95,2.29,91.2
2020,1,4,22,0.0,0.0,0.0,25.82,2.1,91.39
2020,1,4,23,0.0,0.0,0.0,25.75,2.08,91.25
2020,1,5,0,0.0,0.0,0.0,25.71,2.04,90.56
2020,1,5,1,0.0,0.0,0.0,25.66,2.07,89.6
2020,1,5,2,0.0,0.0,0.0,25.64,2.11,88.92
2020,1,5,3,0.0,0.0,0.0,25.67,2.13,88.72
2020,1,5,4,0.0,0.0,0.0,25.71,2.09,88.82
2020,1,5,5,0.0,0.0,0.0,25.77,2.02,88.69
2020,1,5,6,0.01,0.0,0.03,26.03,2.04,88.09
2020,1,5,7,0.03,0.0,0.6,26.72,2.24,86.06
2020,1,5,8,0.07,0.0,2.22,27.49,2.4,81.48
2020,1,5,9,0.12,0.0,5.18,28.29,2.63,75.78
2020,1,5,10,0.14,0.0,6.55,28.97,2.73,71.31
2020,1,5,11,0.17,0.01,9.32,29.53,2.62,68.32
2020,1,5,12,0.19,0.01,10.73,29.92,2.48,66.61
2020,1,5,13,0.17,0.01,8.85,30.06,2.42,66.1
2020,1,5,14,0.14,0.0,6.55,29.98,2.32,66.63
2020,1,5,15,0.1,0.0,4.03,29.58,2.09,69.07
2020,1,5,16,0.06,0.0,1.62,28.85,1.74,74.1
2020,1,5,17,0.02,0.0,0.28,27.97,1.53,80.89
2020,1,5,18,0.0,0.0,0.03,27.25,1.54,85.85
2020,1,5,19,0.0,0.0,0.0,26.9,1.59,87.99
2020,1,5,20,0.0,0.0,0.0,26.73,1.62,89.02
2020,1,5,21,0.0,0.0,0.0,26.59,1.69,89.82
2020,1,5,22,0.0,0.0,0.0,26.46,1.75,90.49
2020,1,5,23,0.0,0.0,0.0,26.35,1.8,91.12
2020,1,6,0,0.0,0.0,0.0,26.25,1.8,91.57
2020,1,6,1,0.0,0.0,0.0,26.2,1.8,91.73
2020,1,6,2,0.0,0.0,0.0,26.2,1.78,91.39
2020,1,6,3,0.0,0.0,0.0,26.26,1.78,90.81
2020,1,6,4,0.0,0.0,0.0,26.31,1.75,90.31
2020,1,6,5,0.0,0.0,0.0,26.32,1.74,89.96
2020,1,6,6,0.01,0.0,0.03,26.46,1.8,89.52
2020,1,6,7,0.03,0.0,0.57,26.93,1.95,88.06
2020,1,6,8,0.07,0.0,2.33,27.39,2.04,85.37
2020,1,6,9,0.11,0.0,5.32,27.92,2.24,80.77
2020,1,6,10,0.15,0.01,7.32,28.36,2.34,77.43
2020,1,6,11,0.17,0.01,9.9,28.78,2.29,74.69
2020,1,6,12,0.18,0.01,10.3,29.07,2.2,72.75
2020,1,6,13,0.17,0.01,9.12,29.17,2.12,71.87
2020,1,6,14,0.14,0.0,7.07,29.06,2.07,72.31
2020,1,6,15,0.11,0.0,4.5,28.7,1.96,74.45
2020,1,6,16,0.06,0.0,1.75,28.05,1.7,78.77
2020,1,6,17,0.03,0.0,0.32,27.39,1.42,83.81
2020,1,6,18,0.0,0.0,0.03,26.82,1.34,87.98
2020,1,6,19,0.0,0.0,0.0,26.54,1.44,89.65
2020,1,6,20,0.0,0.0,0.0,26.42,1.52,90.27
2020,1,6,21,0.0,0.0,0.0,26.35,1.62,90.78
2020,1,6,22,0.0,0.0,0.0,26.29,1.71,91.09
2020,1,6,23,0.0,0.0,0.0,26.23,1.78,91.41
2020,1,7,0,0.0,0.0,0.0,26.12,1.83,91.94
2020,1,7,1,0.0,0.0,0.0,26.04,1.8,92.16
2020,1,7,2,0.0,0.0,0.0,25.99,1.79,92.15
2020,1,7,3,0.0,0.0,0.0,25.97,1.82,91.9
2020,1,7,4,0.0,0.0,0.0,25.97,1.86,91.42
2020,1,7,5,0.0,0.0,0.0,25.97,1.88,90.86
2020,1,7,6,0.01,0.0,0.03,26.13,1.85,90.1
2020,1,7,7,0.03,0.0,0.62,26.7,1.91,88.05
2020,1,7,8,0.07,0.0,2.3,27.2,1.87,84.75
2020,1,7,9,0.09,0.0,4.35,27.74,1.9,79.81
2020,1,7,10,0.15,0.01,7.2,28.26,1.91,76.05
2020,1,7,11,0.19,0.01,11.12,28.65,2.03,73.59
2020,1,7,12,0.19,0.01,11.3,28.91,2.16,72.24
2020,1,7,13,0.15,0.01,8.43,28.98,2.25,72.01
2020,1,7,14,0.1,0.0,4.95,28.91,2.25,72.54
2020,1,7,15,0.07,0.0,3.12,28.63,2.16,74.23
2020,1,7,16,0.04,0.0,1.15,28.14,1.89,77.66
2020,1,7,17,0.01,0.0,0.17,27.55,1.53,82.08
2020,1,7,18,0.0,0.0,0.0,26.97,1.3,86.18
2020,1,7,19,0.0,0.0,0.0,26.68,1.27,87.43
2020,1,7,20,0.0,0.0,0.0,26.55,1.3,87.81
2020,1,7,21,0.0,0.0,0.0,26.44,1.39,88.37
2020,1,7,22,0.0,0.0,0.0,26.32,1.6,89.47
2020,1,7,23,0.0,0.0,0.0,26.2,1.83,90.73
2020,1,8,0,0.0,0.0,0.0,26.14,1.94,91.6
2020,1,8,1,0.0,0.0,0.0,26.07,1.93,92.34
2020,1,8,2,0.0,0.0,0.0,25.99,1.9,92.79
2020,1,8,3,0.0,0.0,0.0,25.93,1.92,92.69
2020,1,8,4,0.0,0.0,0.0,25.87,1.91,92.43
2020,1,8,5,0.0,0.0,0.0,25.81,1.82,92.1
