-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Latitude  -0.5833   Longitude 130.8279 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 47.04 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (MJ/hr) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (MJ/hr) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,WS2M,RH2M
2020,1,1,0,0.0,0.0,0.0,27.88,3.46,82.28
2020,1,1,1,0.0,0.0,0.0,27.79,3.35,82.57
2020,1,1,2,0.0,0.0,0.0,27.72,3.24,82.87
2020,1,1,3,0.0,0.0,0.0,27.67,3.16,83.07
2020,1,1,4,0.0,0.0,0.0,27.61,3.07,83.37
2020,1,1,5,0.0,0.0,0.0,27.55,3.01,83.57
2020,1,1,6,0.0,0.0,0.03,27.53,2.96,83.88
2020,1,1,7,0.04,0.0,0.45,28.0,3.3,82.06
2020,1,1,8,0.08,0.0,2.08,28.44,3.38,79.82
2020,1,1,9,0.13,0.0,5.53,28.84,3.27,77.85
2020,1,1,10,0.18,0.01,8.7,29.3,3.27,75.83
2020,1,1,11,0.2,0.01,10.27,29.85,3.33,73.08
2020,1,1,12,0.2,0.01,10.68,30.28,3.28,70.62
2020,1,1,13,0.18,0.01,9.02,30.59,3.12,68.54
2020,1,1,14,0.16,0.01,7.62,30.79,2.96,67.04
2020,1,1,15,0.11,0.0,4.12,30.86,2.83,66.26
2020,1,1,16,0.06,0.0,1.52,30.77,2.72,66.4
2020,1,1,17,0.02,0.0,0.2,30.5,2.57,67.36
2020,1,1,18,0.0,0.0,0.0,30.1,2.4,69.3
2020,1,1,19,0.0,0.0,0.0,29.65,2.17,72.64
2020,1,1,20,0.0,0.0,0.0,29.28,2.07,75.3
2020,1,1,21,0.0,0.0,0.0,28.93,2.07,77.48
2020,1,1,22,0.0,0.0,0.0,28.63,2.14,79.11
2020,1,1,23,0.0,0.0,0.0,28.39,2.18,80.16
2020,1,2,0,0.0,0.0,0.0,28.16,2.2,81.21
2020,1,2,1,0.0,0.0,0.0,27.94,2.24,82.42
2020,1,2,2,0.0,0.0,0.0,27.77,2.24,83.38
2020,1,2,3,0.0,0.0,0.0,27.64,2.15,84.01
2020,1,2,4,0.0,0.0,0.0,27.54,2.0,84.22
2020,1,2,5,0.0,0.0,0.0,27.48,1.85,84.21
2020,1,2,6,0.0,0.0,0.03,27.48,1.67,83.92
2020,1,2,7,0.04,0.0,0.47,27.89,1.71,81.53
2020,1,2,8,0.09,0.0,2.4,28.28,1.69,78.75
2020,1,2,9,0.15,0.0,5.62,28.69,1.57,76.46
2020,1,2,10,0.19,0.01,9.12,29.24,1.62,72.64
2020,1,2,11,0.22,0.01,11.82,29.85,1.73,68.44
2020,1,2,12,0.22,0.01,12.55,30.34,1.61,65.23
2020,1,2,13,0.21,0.01,11.12,30.64,1.33,63.94
2020,1,2,14,0.18,0.01,8.12,30.87,0.97,62.73
2020,1,2,15,0.13,0.0,4.47,31.02,0.35,61.52
2020,1,2,16,0.08,0.0,1.7,30.92,0.93,62.96
2020,1,2,17,0.03,0.0,0.2,30.65,1.9,64.52
2020,1,2,18,0.0,0.0,0.0,30.14,2.59,67.66
2020,1,2,19,0.0,0.0,0.0,29.53,2.84,73.34
2020,1,2,20,0.0,0.0,0.0,29.05,2.87,77.45
2020,1,2,21,0.0,0.0,0.0,28.66,2.87,80.76
2020,1,2,22,0.0,0.0,0.0,28.29,2.89,83.3
